"sid","school_code","grade_level","year","male","race_ethnicity","eco_dis","title_1","migrant","lep","iep","rdg_ss","math_ss","wrtg_ss","composition"
"000000412","000000011","3",2003,"M","H",2,NA,NA,0,"0",1344.9311828478,1416.67029319134,NA,NA
"000000435","000000011","3",2003,"F","W",9,NA,NA,0,"0",1397.93149616422,1431.30083895184,NA,NA
"000000465","000000001","3",2003,"F","W",0,NA,NA,0,"0",1402.59581112841,1435.18670540538,NA,NA
"000000466","000000005","3",2003,"M","W",0,NA,NA,0,"0",1053.95996639015,1126.3733869281,NA,NA
"000000478","000000005","3",2003,"F","A",1,NA,NA,0,"1",1765.24828815947,1786.15691821975,NA,NA
"000000485","000000001","3",2003,"F","W",0,NA,NA,0,"0",1160.65917970344,1205.93429579892,NA,NA
"000000500","000000006","3",2003,"F","H",0,NA,NA,0,"0",1486.16172876703,1513.79065937447,NA,NA
"000000540","000000005","3",2003,"M","W",2,NA,NA,1,"0",1419.39297606021,1482.92933598969,NA,NA
"000000549","000000005","3",2003,"F","B",0,NA,NA,0,"0",1379.21997336867,1414.24255844654,NA,NA
"000000645","000000012","3",2003,"F","W",0,NA,NA,0,"0",1496.71447841776,1523.133777286,NA,NA
"000000653","000000010","3",2003,"F","A",0,NA,NA,0,"0",1374.48519208721,1409.90127925129,NA,NA
"000000685","000000003","3",2003,"F","H",1,NA,NA,1,"0",1290.35745418095,1332.27858902691,NA,NA
"000000688","000000006","3",2003,"F","D",0,NA,NA,0,"0",1323.81133980555,1363.80137766284,NA,NA
"000000710","000000009","3",2003,"F","W",2,NA,NA,1,"0",1536.18880083719,1559.19831221231,NA,NA
"000000725","000000003","3",2003,"M","H",0,NA,NA,0,"0",1548.54219683544,1604.26801053711,NA,NA
"000000730","000000010","3",2003,"M","W",1,NA,NA,0,"0",1369.71031663358,1438.9212286773,NA,NA
"000000751","000000006","3",2003,"F","B",1,NA,NA,0,"1",1388.60392129336,1422.99547115809,NA,NA
"000000773","000000003","3",2003,"M","W",1,NA,NA,0,"0",1423.13149814662,1486.36850633521,NA,NA
"000000788","000000006","3",2003,"M","W",1,NA,NA,0,"0",1144.90091310245,1222.70250000656,NA,NA
"000000810","000000010","3",2003,"M","A",1,NA,NA,0,"0",1364.88668003821,1434.56875465778,NA,NA
"000000835","000000005","3",2003,"M","B",0,NA,NA,0,"0",1315.90545893994,1387.57790575127,NA,NA
"000000836","000000003","3",2003,"M","W",0,NA,NA,0,"0",1144.90091310245,1222.70250000656,NA,NA
"000000874","000000005","3",2003,"M","B",1,NA,NA,0,"0",1364.88668003821,1434.56875465778,NA,NA
"000000897","000000009","3",2003,"M","W",0,NA,NA,0,"0",1344.9311828478,1416.67029319134,NA,NA
"000000908","000000006","3",2003,"F","B",0,NA,NA,0,"0",1554.95100240446,1577.06778698816,NA,NA
"000000911","000000009","3",2003,"M","W",0,NA,NA,0,"0",1575.23290029319,1630.27087170593,NA,NA
"000000938","000000001","3",2003,"F","W",0,NA,NA,0,"0",1144.90091310245,1189.34432579851,NA,NA
"000000956","000000005","3",2003,"M","B",2,NA,NA,1,"0",1496.71447841776,1556.49195149405,NA,NA
"000000978","000000008","3",2003,"F","W",0,NA,NA,0,"0",1301.73755977809,1340.83925848222,NA,NA
"000000994","000000005","3",2003,"M","W",1,NA,NA,0,"0",1491.41190768244,1551.78503550131,NA,NA
"000001047","000000006","3",2003,"F","W",9,NA,NA,0,"0",1262.42615336751,1309.99574593155,NA,NA
"000001056","000000007","3",2003,"F","W",0,NA,NA,0,"0",1175.63347611623,1221.54673359997,NA,NA
"000001064","000000005","3",2003,"M","D",0,NA,NA,0,"0",1524.38377452415,1581.5606296114,NA,NA
"000001067","000000006","3",2003,"M","H",1,NA,NA,0,"0",1507.51914564884,1566.17202707789,NA,NA
"000001155","000000009","3",2003,"M","W",0,NA,NA,0,"0",1383.92332744753,1451.96236991373,NA,NA
"000001206","000000007","3",2003,"M","W",0,NA,NA,0,"0",1282.47378078126,1359.78378506956,NA,NA
"000001220","000000008","3",2003,"M","W",0,NA,NA,0,"0",1507.51914564884,1566.17202707789,NA,NA
"000001223","000000010","3",2003,"M","D",1,NA,NA,0,"1",1733.61923051409,1787.91198414964,NA,NA
"000001237","000000006","3",2003,"F","H",1,NA,NA,0,"1",1433.85627867082,1463.37616572217,NA,NA
"000001327","000000009","3",2003,"F","W",0,NA,NA,0,"0",1423.13149814662,1453.01033212715,NA,NA
"000001361","000000003","3",2003,"M","A",0,NA,NA,0,"0",1480.95335409636,1542.56982039357,NA,NA
"000001373","000000005","3",2003,"M","B",1,NA,NA,0,"0",1656.33817181691,1711.09465824958,NA,NA
"000001375","000000002","3",2003,"F","W",0,NA,NA,0,"0",1465.63054713964,1495.68248555639,NA,NA
"000001390","000000011","3",2003,"F","W",0,NA,NA,0,"1",1507.51914564884,1532.81385286984,NA,NA
"000001399","000000007","3",2003,"M","W",9,NA,NA,0,"0",1684.12440848107,1738.65037703953,NA,NA
"000001401","000000005","3",2003,"M","B",1,NA,NA,0,"0",1388.60392129336,1456.35364536615,NA,NA
"000001406","000000006","3",2003,"F","W",0,NA,NA,0,"0",1329.02788645763,1368.89077700664,NA,NA
"000001410","000000007","3",2003,"F","W",0,NA,NA,0,"0",1613.18958855706,1635.05725867489,NA,NA
"000001437","000000010","3",2003,"M","W",0,NA,NA,0,"0",1582.38065190057,1637.38794586705,NA,NA
"000001522","000000001","3",2003,"M","W",0,NA,NA,0,"0",1754.54311467336,1808.80783001777,NA,NA
"000001545","000000002","3",2003,"M","W",0,NA,NA,0,"0",1379.21997336867,1447.6007326546,NA,NA
"000001567","000000006","3",2003,"F","W",2,NA,NA,0,"0",1319.5233380521,1358.62722810071,NA,NA
"000001591","000000009","3",2003,"M","W",0,NA,NA,0,"0",1433.85627867082,1496.73433993023,NA,NA
"000001606","000000003","3",2003,"F","W",2,NA,NA,0,"1",1128.31196479385,1171.71319799104,NA,NA
"000001646","000000005","3",2003,"F","H",0,NA,NA,0,"0",1305.87375288814,1344.17839846158,NA,NA
"000001659","000000007","3",2003,"M","W",0,NA,NA,0,"0",1665.44216989418,1720.11550837286,NA,NA
"000001681","000000010","3",2003,"M","W",0,NA,NA,0,"0",1415.50850910577,1479.45394986694,NA,NA
"000001688","000000011","3",2003,"F","W",0,NA,NA,0,"0",1433.85627867082,1463.37616572217,NA,NA
"000001689","000000003","3",2003,"F","D",0,NA,NA,0,"0",1444.65313588615,1474.37227932079,NA,NA
"000001710","000000011","3",2003,"F","W",0,NA,NA,0,"0",1621.49158192699,1643.2731684525,NA,NA
"000001724","000000009","3",2003,"F","W",0,NA,NA,0,"1",1296.67208702779,1336.97789678557,NA,NA
"000001731","000000003","3",2003,"F","A",2,NA,NA,0,"0",1744.00025839664,1764.91562652409,NA,NA
"000001772","000000010","3",2003,"F","W",1,NA,NA,0,"0",1350.03653370588,1387.89462645951,NA,NA
"000001799","000000004","3",2003,"F","N",9,NA,NA,0,"0",1437.39590475827,1466.93609018062,NA,NA
"000001837","000000008","3",2003,"M","W",0,NA,NA,0,"0",1486.16172876703,1547.14883358253,NA,NA
"000001849","000000003","3",2003,"M","H",1,NA,NA,0,"0",1262.42615336751,1343.3539201396,NA,NA
"000001859","000000003","3",2003,"M","W",1,NA,NA,0,"1",1296.67208702779,1370.33607099363,NA,NA
"000001867","000000006","3",2003,"M","W",1,NA,NA,0,"1",1621.49158192699,1676.63134266055,NA,NA
"000001926","000000004","3",2003,"F","H",0,NA,NA,0,"0",1638.60197401856,1660.18285010874,NA,NA
"000001951","000000007","3",2003,"F","W",9,NA,NA,0,"0",1621.49158192699,1643.2731684525,NA,NA
"000001953","000000001","3",2003,"M","W",0,NA,NA,0,"0",1613.18958855706,1668.41543288294,NA,NA
"000002001","000000010","3",2003,"M","W",0,NA,NA,0,"0",1315.90545893994,1387.57790575127,NA,NA
"000002026","000000002","3",2003,"M","W",1,NA,NA,0,"1",1053.95996639015,1126.3733869281,NA,NA
"000002049","000000008","3",2003,"M","W",0,NA,NA,0,"0",1448.4477176212,1511.65984165495,NA,NA
"000002051","000000002","3",2003,"F","W",0,NA,NA,0,"0",1561.52866312031,1583.44523050658,NA,NA
"000002069","000000008","3",2003,"M","W",0,NA,NA,0,"0",1360.00561533151,1430.1847277501,NA,NA
"000002076","000000011","3",2003,"F","W",0,NA,NA,0,"0",1216.31965941962,1263.31305245218,NA,NA
"000002113","000000005","3",2003,"F","A",0,NA,NA,0,"0",1684.12440848107,1705.29220283147,NA,NA
"000002117","000000003","3",2003,"M","W",2,NA,NA,0,"0",1393.27042187573,1460.60412231819,NA,NA
"000002139","000000011","3",2003,"F","W",2,NA,NA,0,"0",1638.60197401856,1660.18285010874,NA,NA
"000002140","000000012","3",2003,"M","W",0,NA,NA,0,"1",1452.40426126677,1515.7655077813,NA,NA
"000002177","000000009","3",2003,"F","H",2,NA,NA,0,"0",1536.18880083719,1559.19831221231,NA,NA
"000002212","000000006","3",2003,"F","W",1,NA,NA,0,"0",1282.47378078126,1326.42561086151,NA,NA
"000002232","000000008","3",2003,"F","W",0,NA,NA,0,"1",1355.05845554393,1392.39367009553,NA,NA
"000002255","000000003","3",2003,"M","H",0,NA,NA,0,"0",1444.65313588615,1507.73045352885,NA,NA
"000002279","000000006","3",2003,"M","W",1,NA,NA,1,"0",1430.32466110461,1493.24444658329,NA,NA
"000002283","000000006","3",2003,"F","H",1,NA,NA,0,"0",1433.85627867082,1463.37616572217,NA,NA
"000002313","000000006","3",2003,"F","B",2,NA,NA,0,"0",1444.65313588615,1474.37227932079,NA,NA
"000002376","000000012","3",2003,"M","A",0,NA,NA,0,"0",1411.43960893598,1475.91578624477,NA,NA
"000002400","000000006","3",2003,"M","B",1,NA,NA,0,"0",1402.59581112841,1468.54487961343,NA,NA
"000002425","000000010","3",2003,"F","W",0,NA,NA,0,"0",1251.63172572835,1299.1406966332,NA,NA
"000002476","000000006","3",2003,"M","A",0,NA,NA,0,"0",1374.48519208721,1443.25945345935,NA,NA
"000002478","000000008","3",2003,"M","W",0,NA,NA,0,"0",1251.63172572835,1332.49887084126,NA,NA
"000002491","000000008","3",2003,"M","W",0,NA,NA,0,"0",1575.23290029319,1630.27087170593,NA,NA
"000002509","000000003","3",2003,"F","H",0,NA,NA,0,"0",1465.63054713964,1495.68248555639,NA,NA
"000002535","000000002","3",2003,"M","W",0,NA,NA,0,"0",1647.39160279678,1702.23683703799,NA,NA
"000002549","000000012","3",2003,"F","W",0,NA,NA,0,"0",1656.33817181691,1677.73648404153,NA,NA
"000002555","000000012","3",2003,"F","W",1,NA,NA,0,"0",1411.43960893598,1442.55761203672,NA,NA
"000002582","000000011","3",2003,"M","W",1,NA,NA,0,"0",1374.48519208721,1443.25945345935,NA,NA
"000002616","000000003","3",2003,"M","D",0,NA,NA,0,"0",1383.92332744753,1451.96236991373,NA,NA
"000002631","000000010","3",2003,"F","A",0,NA,NA,0,"0",1423.13149814662,1453.01033212715,NA,NA
"000002635","000000005","3",2003,"M","H",2,NA,NA,0,"0",1647.39160279678,1702.23683703799,NA,NA
"000002668","000000003","3",2003,"F","D",0,NA,NA,0,"0",1419.39297606021,1449.57116178164,NA,NA
"000002726","000000004","3",2003,"M","W",0,NA,NA,1,"0",1621.49158192699,1676.63134266055,NA,NA
"000002740","000000005","3",2003,"M","B",0,NA,NA,0,"0",1423.13149814662,1486.36850633521,NA,NA
"000002767","000000011","3",2003,"F","W",0,NA,NA,0,"0",1674.70408584383,1695.94223362103,NA,NA
"000002782","000000002","3",2003,"F","W",0,NA,NA,0,"0",1440.98202771427,1470.59260747277,NA,NA
"000002823","000000010","3",2003,"F","W",9,NA,NA,0,"0",1272.81030297383,1319.10323794463,NA,NA
"000002860","000000011","3",2003,"M","N",1,NA,NA,0,"0",1561.52866312031,1616.80340471463,NA,NA
"000002884","000000007","3",2003,"F","W",0,NA,NA,0,"0",1486.16172876703,1513.79065937447,NA,NA
"000002931","000000005","3",2003,"F","W",1,NA,NA,0,"0",1703.44222907924,1724.49143220013,NA,NA
"000002962","000000005","3",2003,"M","W",1,NA,NA,0,"0",1575.23290029319,1630.27087170593,NA,NA
"000002965","000000001","3",2003,"F","W",1,NA,NA,0,"0",1144.90091310245,1189.34432579851,NA,NA
"000002976","000000008","3",2003,"M","W",0,NA,NA,0,"0",1475.77619609525,1538.03447059032,NA,NA
"000002990","000000004","3",2003,"F","W",1,NA,NA,0,"0",1388.60392129336,1422.99547115809,NA,NA
"000002991","000000006","3",2003,"F","H",0,NA,NA,0,"0",1393.27042187573,1427.24594811014,NA,NA
"000003013","000000003","3",2003,"F","H",1,NA,NA,0,"0",1448.4477176212,1478.30166744689,NA,NA
"000003030","000000007","3",2003,"F","W",2,NA,NA,0,"0",1301.73755977809,1340.83925848222,NA,NA
"000003033","000000006","3",2003,"M","H",0,NA,NA,0,"0",1536.18880083719,1592.55648642036,NA,NA
"000003046","000000005","3",2003,"M","B",0,NA,NA,0,"0",1613.18958855706,1668.41543288294,NA,NA
"000003062","000000005","3",2003,"F","W",1,NA,NA,0,"0",1486.16172876703,1513.79065937447,NA,NA
"000003092","000000008","3",2003,"M","W",0,NA,NA,0,"0",1334.43552619325,1407.18567211559,NA,NA
"000003116","000000006","3",2003,"F","W",2,NA,NA,0,"0",1542.29165883807,1564.95785318515,NA,NA
"000003139","000000006","3",2003,"F","W",1,NA,NA,0,"1",1684.12440848107,1705.29220283147,NA,NA
"000003143","000000001","3",2003,"M","W",0,NA,NA,0,"1",1290.35745418095,1365.63676323497,NA,NA
"000003167","000000003","3",2003,"M","H",1,NA,NA,0,"0",1282.47378078126,1359.78378506956,NA,NA
"000003173","000000006","3",2003,"M","B",0,NA,NA,0,"0",1329.02788645763,1402.2489512147,NA,NA
"000003193","000000003","3",2003,"M","B",0,NA,NA,0,"0",1364.88668003821,1434.56875465778,NA,NA
"000003194","000000005","3",2003,"F","H",0,NA,NA,1,"0",1319.5233380521,1358.62722810071,NA,NA
"000003196","000000006","3",2003,"F","W",0,NA,NA,0,"0",1423.13149814662,1453.01033212715,NA,NA
"000003207","000000006","3",2003,"F","B",1,NA,NA,0,"0",1301.73755977809,1340.83925848222,NA,NA
"000003218","000000003","3",2003,"F","H",0,NA,NA,0,"0",1305.87375288814,1344.17839846158,NA,NA
"000003221","000000002","3",2003,"M","W",0,NA,NA,0,"0",1656.33817181691,1711.09465824958,NA,NA
"000003248","000000002","3",2003,"F","W",0,NA,NA,0,"0",1315.90545893994,1354.21973154322,NA,NA
"000003304","000000003","3",2003,"M","H",2,NA,NA,0,"0",1339.73373600012,1411.98701822424,NA,NA
"000003319","000000006","3",2003,"F","W",1,NA,NA,0,"0",1128.31196479385,1171.71319799104,NA,NA
"000003338","000000007","3",2003,"M","W",0,NA,NA,0,"1",1033.56712693982,1104.59632713297,NA,NA
"000003346","000000006","3",2003,"F","W",0,NA,NA,0,"1",1411.43960893598,1442.55761203672,NA,NA
"000003348","000000002","3",2003,"F","W",0,NA,NA,0,"0",1374.48519208721,1409.90127925129,NA,NA
"000003354","000000010","3",2003,"M","W",0,NA,NA,0,"0",1613.18958855706,1668.41543288294,NA,NA
"000003400","000000006","3",2003,"M","W",1,NA,NA,0,"0",1530.2230352576,1586.97586227447,NA,NA
"000003413","000000003","3",2003,"F","W",1,NA,NA,0,"0",1319.5233380521,1358.62722810071,NA,NA
"000003423","000000003","4",2003,"M","B",0,NA,NA,0,"0",1257.22275797192,1340.32144626685,NA,NA
"000003454","000000012","3",2003,"M","W",0,NA,NA,0,"1",1475.77619609525,1538.03447059032,NA,NA
"000003467","000000005","3",2003,"M","W",1,NA,NA,0,"0",1470.61966718854,1533.52925882865,NA,NA
"000003473","000000010","3",2003,"F","W",0,NA,NA,0,"0",1374.48519208721,1409.90127925129,NA,NA
"000003479","000000006","3",2003,"F","W",1,NA,NA,0,"0",1360.00561533151,1396.82655354205,NA,NA
"000003482","000000012","3",2003,"F","W",0,NA,NA,0,"0",1369.71031663358,1405.56305446924,NA,NA
"000003527","000000011","3",2003,"M","W",0,NA,NA,0,"0",1638.60197401856,1693.5410243168,NA,NA
"000003535","000000003","3",2003,"F","W",2,NA,NA,0,"0",1486.16172876703,1513.79065937447,NA,NA
"000003536","000000006","3",2003,"F","B",1,NA,NA,0,"0",1486.16172876703,1513.79065937447,NA,NA
"000003578","000000006","3",2003,"M","H",0,NA,NA,0,"0",1713.34070467062,1767.70090740893,NA,NA
"000003585","000000010","3",2003,"M","W",0,NA,NA,0,"0",1496.71447841776,1556.49195149405,NA,NA
"000003596","000000011","3",2003,"M","W",0,NA,NA,0,"0",1452.40426126677,1515.7655077813,NA,NA
"000003621","000000004","3",2003,"M","W",0,NA,NA,0,"1",1629.96879666704,1685.00619966474,NA,NA
"000003671","000000010","3",2003,"M","B",2,NA,NA,0,"0",1350.03653370588,1421.25280066756,NA,NA
"000003690","000000005","3",2003,"M","W",1,NA,NA,0,"0",1733.61923051409,1787.91198414964,NA,NA
"000003739","000000003","3",2003,"M","H",0,NA,NA,0,"0",1524.38377452415,1581.5606296114,NA,NA
"000003741","000000005","3",2003,"F","H",0,NA,NA,0,"0",1554.95100240446,1577.06778698816,NA,NA
"000003744","000000012","3",2003,"F","W",0,NA,NA,0,"0",1312.63782201276,1350.55291064735,NA,NA
"000003750","000000006","3",2003,"F","B",0,NA,NA,0,"0",1329.02788645763,1368.89077700664,NA,NA
"000003760","000000011","3",2003,"F","W",0,NA,NA,0,"0",1656.33817181691,1677.73648404153,NA,NA
"000003762","000000003","3",2003,"M","B",0,NA,NA,0,"0",1548.54219683544,1604.26801053711,NA,NA
"000003777","000000006","3",2003,"M","A",0,NA,NA,1,"0",1216.31965941962,1296.67122666024,NA,NA
"000003792","000000010","3",2003,"M","W",0,NA,NA,0,"0",1638.60197401856,1693.5410243168,NA,NA
"000003799","000000003","3",2003,"M","W",0,NA,NA,0,"0",1638.60197401856,1693.5410243168,NA,NA
"000003807","000000012","3",2003,"M","W",0,NA,NA,0,"0",1433.85627867082,1496.73433993023,NA,NA
"000003837","000000012","3",2003,"F","B",0,NA,NA,0,"0",1582.38065190057,1604.02977165899,NA,NA
"000003851","000000003","3",2003,"M","H",0,NA,NA,1,"0",1323.81133980555,1397.15955187089,NA,NA
"000003853","000000003","3",2003,"M","W",1,NA,NA,1,"0",1110.84581039399,1186.59853011369,NA,NA
"000003878","000000003","3",2003,"M","B",2,NA,NA,0,"0",1629.96879666704,1685.00619966474,NA,NA
"000003881","000000011","3",2003,"M","H",0,NA,NA,0,"0",1513.04241729494,1571.17223735724,NA,NA
"000003944","000000010","3",2003,"F","H",1,NA,NA,0,"0",1684.12440848107,1705.29220283147,NA,NA
"000004008","000000005","3",2003,"F","H",0,NA,NA,0,"0",1444.65313588615,1474.37227932079,NA,NA
"000004017","000000005","3",2003,"F","H",0,NA,NA,0,"0",1110.84581039399,1153.24035590563,NA,NA
"000004061","000000006","3",2003,"F","H",0,NA,NA,0,"0",1189.87051386025,1236.26105906617,NA,NA
"000004092","000000003","3",2003,"F","B",1,NA,NA,0,"0",1203.4170044549,1250.15669206206,NA,NA
"000004098","000000006","3",2003,"M","H",9,NA,NA,0,"0",1470.61966718854,1533.52925882865,NA,NA
"000004099","000000006","3",2003,"F","B",1,NA,NA,0,"0",1448.4477176212,1478.30166744689,NA,NA
"000004104","000000011","3",2003,"M","W",0,NA,NA,0,"0",1290.35745418095,1365.63676323497,NA,NA
"000004109","000000003","3",2003,"M","H",1,NA,NA,0,"1",1491.41190768244,1551.78503550131,NA,NA
"000004117","000000008","3",2003,"F","W",0,NA,NA,0,"0",1437.39590475827,1466.93609018062,NA,NA
"000004120","000000011","3",2003,"F","W",1,NA,NA,0,"1",1339.73373600012,1378.62884401619,NA,NA
"000004129","000000009","3",2003,"M","B",2,NA,NA,0,"0",1228.62519027383,1309.16773430911,NA,NA
"000004133","000000006","3",2003,"M","W",0,NA,NA,0,"0",1411.43960893598,1475.91578624477,NA,NA
"000004142","000000006","3",2003,"M","H",0,NA,NA,0,"0",1460.95718767867,1524.55514805356,NA,NA
"000004196","000000006","3",2003,"M","B",0,NA,NA,0,"0",1419.39297606021,1482.92933598969,NA,NA
"000004201","000000002","3",2003,"M","W",0,NA,NA,0,"0",1536.18880083719,1592.55648642036,NA,NA
"000004205","000000009","3",2003,"M","W",9,NA,NA,0,"0",1568.28576655816,1623.4138664365,NA,NA
"000004218","000000003","3",2003,"M","W",1,NA,NA,0,"0",1379.21997336867,1447.6007326546,NA,NA
"000004250","000000004","3",2003,"F","W",0,NA,NA,0,"0",1575.23290029319,1596.91269749787,NA,NA
"000004258","000000002","3",2003,"M","W",0,NA,NA,0,"0",1053.95996639015,1126.3733869281,NA,NA
"000004284","000000006","3",2003,"M","W",1,NA,NA,0,"1",1542.29165883807,1598.3160273932,NA,NA
"000004291","000000009","3",2003,"F","W",0,NA,NA,0,"0",1548.54219683544,1570.90983632905,NA,NA
"000004293","000000010","3",2003,"F","H",1,NA,NA,0,"0",1110.84581039399,1153.24035590563,NA,NA
"000004310","000000010","3",2003,"M","W",9,NA,NA,0,"0",1251.63172572835,1332.49887084126,NA,NA
"000004323","000000006","3",2003,"F","W",0,NA,NA,0,"0",1713.34070467062,1734.34273320088,NA,NA
"000004371","000000004","3",2003,"F","W",9,NA,NA,0,"0",1561.52866312031,1583.44523050658,NA,NA
"000004384","000000002","3",2003,"M","W",0,NA,NA,0,"0",1415.50850910577,1479.45394986694,NA,NA
"000004387","000000006","3",2003,"M","W",1,NA,NA,0,"0",1713.34070467062,1767.70090740893,NA,NA
"000004395","000000008","3",2003,"M","W",0,NA,NA,0,"0",1369.71031663358,1438.9212286773,NA,NA
"000004421","000000011","4",2003,"M","W",1,NA,NA,0,"0",1624.66981850835,1709.35054470218,NA,NA
"000004422","000000004","3",2003,"F","W",0,NA,NA,0,"0",1684.12440848107,1705.29220283147,NA,NA
"000004463","000000006","3",2003,"M","B",2,NA,NA,0,"0",1776.11626767022,1830.39660838351,NA,NA
"000004469","000000006","3",2003,"F","H",2,NA,NA,0,"0",1582.38065190057,1604.02977165899,NA,NA
"000004476","000000007","3",2003,"F","W",1,NA,NA,0,"0",1296.67208702779,1336.97789678557,NA,NA
"000004477","000000006","3",2003,"M","B",1,NA,NA,0,"0",1296.67208702779,1370.33607099363,NA,NA
"000004480","000000010","3",2003,"F","H",0,NA,NA,0,"0",1754.54311467336,1775.44965580972,NA,NA
"000004497","000000009","3",2003,"F","W",0,NA,NA,0,"0",1216.31965941962,1263.31305245218,NA,NA
"000004529","000000008","3",2003,"M","W",0,NA,NA,0,"0",1419.39297606021,1482.92933598969,NA,NA
"000004532","000000006","3",2003,"F","H",0,NA,NA,0,"0",1561.52866312031,1583.44523050658,NA,NA
"000004553","000000005","3",2003,"M","W",1,NA,NA,0,"1",1460.95718767867,1524.55514805356,NA,NA
"000004630","000000011","3",2003,"F","W",0,NA,NA,0,"0",1251.63172572835,1299.1406966332,NA,NA
"000004636","000000002","3",2003,"M","W",9,NA,NA,0,"0",1568.28576655816,1623.4138664365,NA,NA
"000004653","000000012","3",2003,"F","W",9,NA,NA,0,"0",1530.2230352576,1553.61768806642,NA,NA
"000004687","000000012","3",2003,"F","B",9,NA,NA,0,"0",1369.71031663358,1405.56305446924,NA,NA
"000004700","000000012","3",2003,"M","H",1,NA,NA,0,"1",1475.77619609525,1538.03447059032,NA,NA
"000004708","000000009","3",2003,"F","W",0,NA,NA,0,"0",1262.42615336751,1309.99574593155,NA,NA
"000004718","000000003","3",2003,"F","B",1,NA,NA,0,"0",1415.50850910577,1446.09577565889,NA,NA
"000004719","000000011","3",2003,"M","H",2,NA,NA,0,"0",1110.84581039399,1186.59853011369,NA,NA
"000004725","000000004","3",2003,"M","H",0,NA,NA,0,"0",1613.18958855706,1668.41543288294,NA,NA
"000004729","000000007","3",2003,"M","W",0,NA,NA,0,"0",1638.60197401856,1693.5410243168,NA,NA
"000004749","000000003","3",2003,"M","H",0,NA,NA,0,"0",1629.96879666704,1685.00619966474,NA,NA
"000004797","000000011","3",2003,"M","B",9,NA,NA,0,"1",1312.63782201276,1383.9110848554,NA,NA
"000004810","000000002","3",2003,"F","W",2,NA,NA,1,"0",1203.4170044549,1250.15669206206,NA,NA
"000004813","000000004","3",2003,"M","W",1,NA,NA,0,"0",1754.54311467336,1808.80783001777,NA,NA
"000004867","000000005","3",2003,"F","W",1,NA,NA,0,"0",1203.4170044549,1250.15669206206,NA,NA
